"Protocollo","DataOraIncidente","xutm","yutm","NaturaIncidenteNew","InBufTime","InBufSpace","InBuf"
4420185,2019-03-25 02:00:00,792.635574422513,4643.70931842914,"D",1,1,1
4294171,2019-03-25 07:20:00,789.191029178396,4643.09575433427,"B",1,0,1
4293010,2019-03-25 08:15:00,787.361690065641,4648.559793635,"D",1,1,1
4293208,2019-03-25 08:30:00,790.895301654056,4647.34301471586,"C",1,0,1
4293223,2019-03-25 08:47:00,789.500988202262,4645.68898528245,"D",1,0,1
4293024,2019-03-25 09:15:00,788.34951621205,4649.49081474362,"C",1,1,1
4292293,2019-03-25 11:00:00,786.330961742738,4646.0054536117,"D",1,0,1
4292963,2019-03-25 11:30:00,787.246351324568,4648.51229051964,"D",1,1,1
4292156,2019-03-25 12:20:00,786.824754583959,4645.69169237893,"D",1,0,1
4294044,2019-03-25 12:30:00,790.801154056169,4645.18589948292,"D",1,0,1
4293536,2019-03-25 13:00:00,791.902774538264,4644.46352705462,"D",1,0,1
4292041,2019-03-25 13:05:00,791.640729307514,4643.23210603036,"D",1,1,1
4294008,2019-03-25 14:10:00,790.384614014992,4644.63347179003,"B",1,0,1
4293209,2019-03-25 14:20:00,789.444813597934,4648.90136451813,"D",1,0,1
4292496,2019-03-25 14:45:00,791.117995986954,4642.31786603264,"D",1,1,1
4292514,2019-03-25 14:45:00,791.528315544955,4642.66904665714,"A",1,1,1
4292912,2019-03-25 15:40:00,787.922148608387,4646.12233953863,"D",1,0,1
4293797,2019-03-25 17:35:00,788.5756278763,4642.09102455075,"C",1,0,1
4293844,2019-03-25 19:10:00,788.260812832803,4643.44078990666,"A",1,0,1
4294162,2019-03-25 19:10:00,789.14846485714,4642.91605109511,"D",1,0,1
4293072,2019-03-25 19:30:00,787.78005962612,4648.78918367097,"C",1,1,1
4293975,2019-03-25 19:40:00,790.661677296432,4643.44018550057,"D",1,0,1
4293590,2019-03-25 23:20:00,790.494740794133,4644.55045113878,"D",1,0,1
4293908,2019-03-25 23:25:00,790.566105947064,4644.43100945264,"C",1,0,1
4293034,2019-03-26 07:40:00,792.823707572781,4643.0886801583,"D",1,1,1
4293941,2019-03-26 08:35:00,791.34378504347,4644.80255685537,"B",1,0,1
4295273,2019-03-26 08:40:00,787.227617748329,4645.56091946228,"D",1,0,1
4294259,2019-03-26 09:15:00,788.920040029178,4643.1174304962,"D",1,0,1
